Topic,Count,Name,Representation,Representative_Docs
-1,930,-1_to_from_difficult_the,"['to', 'from', 'difficult', 'the', 'and', 'not', 'or', 'large', 'with', 'assistance']","['variable, and often ill-defined, potential for implantation and development to term', 'increased number of mobility impaired people living at home', 'caregiver may be required to lift the user']"
0,625,0_falls_aging_elderly_population,"['falls', 'aging', 'elderly', 'population', 'falling', 'injuries', 'monitoring', 'injury', 'fall', 'walking']","['risk of injury from falls', 'elderly individuals that are at risk of falling', 'falls in the elderly']"
1,221,1_multiple_embryo_gestations_mother,"['multiple', 'embryo', 'gestations', 'mother', 'fetuses', 'pregnancy', 'embryos', 'pregnancies', 'both', 'outcomes']","['multiple gestations have well-documented adverse outcomes for both the mother and fetuses', 'multiple gestations have well-documented adverse outcomes for both the mother and fetuses', 'multiple gestations have well-documented adverse outcomes for both the mother and fetuses']"
2,138,2_infertility_ovarian_syndrome_hyperstimulation,"['infertility', 'ovarian', 'syndrome', 'hyperstimulation', 'fertility', 'ohss', 'couples', 'premature', 'stimulation', '15']","['infertility', 'infertility', 'infertility']"
3,111,3_emergency_medical_response_problem,"['emergency', 'medical', 'response', 'problem', 'calls', 'common', 'conditions', 'services', 'misrouted', 'voip']","['individuals that have medical conditions that may require fast emergency response', 'medical emergency', 'medical emergency']"
4,99,4_medication_compliance_adherence_non,"['medication', 'compliance', 'adherence', 'non', 'medications', 'regimen', 'prescribed', 'taking', 'about', 'prescriptions']","['medication non-adherence', 'medication compliance', 'medication compliance']"
5,66,5_healthcare_delivery_care_dependence,"['healthcare', 'delivery', 'care', 'dependence', 'upon', 'cost', 'home', 'general', 'jostling', 'resources']","['dependence upon the delivery of home health and general care', 'dependence upon the delivery of home health and general care', 'dependence upon the delivery of home health and general care']"
6,43,6_position_strength_standing_seated,"['position', 'strength', 'standing', 'seated', 'stand', 'sitting', 'flexibility', 'supported', 'impossible', 'transitioning']","['difficult or impossible for certain people to sit or stand from a seated position on a chair', 'difficult in rising from the sitting position to the standing position', 'difficulty in moving a person from a seated position to a standing position']"
7,38,7_retirement_benefits_funded_plans,"['retirement', 'benefits', 'funded', 'plans', 'pension', 'employer', 'income', 'benefit', 'employers', 'insufficient']","['decrease in the number of employers that offer defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans']"
8,26,8_positioning_recognize_posture_cannot,"['positioning', 'recognize', 'posture', 'cannot', 'body', 'sensors', 'worn', 'pedometers', 'store', 'consumption']","['cannot recognize the human body positioning and posture', 'wearable devices cannot recognize the human body positioning and posture', 'wearable devices cannot recognize the human body positioning and posture']"
9,23,9_lifting_lift_moving_rolling,"['lifting', 'lift', 'moving', 'rolling', 'manual', 'demanding', 'mechanical', 'manually', 'type', 'part']","['manual moving, lifting, and/or rolling of the patient', 'manual moving, lifting, and/or rolling of the patient', 'manual moving, lifting, and/or rolling of the patient']"
10,14,10_wheelchairs_wheelchair_motorized_special,"['wheelchairs', 'wheelchair', 'motorized', 'special', 'standard', 'vehicles', 'tilting', 'everyday', 'improvements', 'versatility']","['special wheelchair vehicles are expensive', 'motorized wheelchairs are relatively expensive', 'motorized wheelchairs are relatively expensive']"
11,14,11_alone_living_themselves_individuals,"['alone', 'living', 'themselves', 'individuals', 'being', 'lives', 'private', 'larger', 'immobile', 'by']","['individuals living by themselves', 'individuals living by themselves', 'individuals living by themselves']"
12,14,12_supervision_continuous_general_necessary,"['supervision', 'continuous', 'general', 'necessary', 'as', 'care', 'well', 'urgent', 'medical', 'assistant']","['continuous general supervision and care', 'continuous general supervision and care', 'continuous general supervision and care']"
13,14,13_traffic_road_misbehavior_regulations,"['traffic', 'road', 'misbehavior', 'regulations', 'laws', 'requirements', 'regulation', 'accidents', 'awareness', 'safety']","['traffic accidents', 'traffic accidents', 'traffic safety']"
14,13,14_sporadic_nature_nurses_visits,"['sporadic', 'nature', 'nurses', 'visits', 'home', 'by', 'visiting', 'follow', 'done', 'which']","['sporadic nature of home visits by nurses', 'sporadic nature of home visits by nurses', 'sporadic nature of home visits by nurses']"
15,13,15_pneumonia_late_admission_increases,"['pneumonia', 'late', 'admission', 'increases', 'admissions', 'hospital', 'overall', '10', 'exacerbations', 'copd']","['late admission increases the risk of pneumonia', 'late admission increases the risk of pneumonia', 'late admission increases the risk of pneumonia']"
16,13,16_food_eating_cooking_recognition,"['food', 'eating', 'cooking', 'recognition', 'quantities', 'directions', 'preparations', 'preparation', 'intake', 'confusion']","['confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake']"
17,13,17_implantation_implant_lower_failure,"['implantation', 'implant', 'lower', 'failure', 'rates', 'poorly', 'success', 'low', 'successful', 'rate']","['implantation failure', 'implantation failure', 'implantation failure']"
18,12,18_bone_fractures_fracture_lengthy,"['bone', 'fractures', 'fracture', 'lengthy', 'hip', 'resulting', 'treatment', 'costly', 'shoulder', 'vertebral']","['resulting bone fractures can require lengthy and costly treatment', 'resulting bone fractures can require lengthy and costly treatment', 'resulting bone fractures can require lengthy and costly treatment']"
19,12,19_continuous_facilities_no_monitoring,"['continuous', 'facilities', 'no', 'monitoring', 'blood', 'patient', 'saturation', 'sampling', 'proximity', 'oxygen']","['no facilities for continuous monitoring of the patient', 'no facilities for continuous monitoring of the patient', 'no facilities for continuous monitoring of the patient']"
20,12,20_generally_consuming_very_visits,"['generally', 'consuming', 'very', 'visits', 'expensive', 'time', 'home', 'simple', 'intrusive', 'therapist']","['time consuming and generally very expensive home visits', 'time consuming and generally very expensive home visits', 'time consuming and generally very expensive home visits']"
21,11,21_capabilities_cognitive_reduced_load,"['capabilities', 'cognitive', 'reduced', 'load', 'cognition', 'optimal', 'sub', 'attention', 'requiring', 'immediate']","['reduced cognitive capabilities', 'reduced cognitive capabilities', 'reduced cognitive capabilities']"
22,11,22_ivf_et_ideal_success,"['ivf', 'et', 'ideal', 'success', 'cycles', 'less', 'diverse', 'experiments', 'failure', 'rate']","['failure of ivf', 'less than ideal success rate of ivf/et', 'less than ideal success rate of ivf/et']"
23,11,23_reduced_mobility_decreases_decreased,"['reduced', 'mobility', 'decreases', 'decreased', 'decrease', 'conditions', 'in', '', '', '']","['reduced mobility', 'reduced mobility', 'reduced mobility']"
24,11,24_nonexistent_minimal_equipment_facilities,"['nonexistent', 'minimal', 'equipment', 'facilities', 'drying', 'washing', 'at', 'monitoring', 'usually', 'improper']","['minimal or nonexistent monitoring equipment at home care facilities', 'minimal or nonexistent monitoring equipment at home care facilities', 'minimal or nonexistent monitoring equipment at home care facilities']"
25,11,25_fast_user_personal_weak,"['fast', 'user', 'personal', 'weak', 'uncomfortably', 'actions', 'relatively', 'uncomfortable', 'response', 'needs']","['fast response to personal needs', 'fast response to personal needs', 'fast response to personal needs']"
26,10,26_depression_severe_suicidal_thoughts,"['depression', 'severe', 'suicidal', 'thoughts', 'risks', 'for', '', '', '', '']","['depression', 'depression', 'depression']"
27,10,27_back_injuries_lower_injury,"['back', 'injuries', 'lower', 'injury', 'carers', 'backs', 'ligaments', 'leg', 'happen', 'particularly']","['back injury', 'back injuries', 'back injuries']"
28,10,28_late_increases_admission_hypothermia,"['late', 'increases', 'admission', 'hypothermia', 'dehydration', 'risk', 'ulcers', 'pressure', 'the', 'of']","['late admission increases the risk of hypothermia', 'late admission increases the risk of hypothermia', 'late admission increases the risk of hypothermia']"
29,10,29_wearing_neglect_bath_re,"['wearing', 'neglect', 'bath', 're', 'getting', 'out', 'elders', 'bed', 'when', 'seatbelts']","['elders neglect re-wearing when getting out of bed or bath', 'elders neglect re-wearing when getting out of bed or bath', 'elders neglect re-wearing when getting out of bed or bath']"
30,9,30_dangerous_shock_potentially_characterized,"['dangerous', 'shock', 'potentially', 'characterized', 'predictive', 'hazardous', 'anomalous', 'before', 'situations', 'situation']","['potential hazardous situations characterized by inactivity', 'potentially dangerous situation', 'potentially dangerous situation']"
31,9,31_factors_genetic_environmental_diet,"['factors', 'genetic', 'environmental', 'diet', 'influences', 'stress', 'such', 'as', 'and', '']","['genetic factors', 'genetic factors', 'genetic factors']"
