Topic,Count,Name,Representation,Representative_Docs
-1,995,-1_the_of_to_and,"['the', 'of', 'to', 'and', 'or', 'for', 'in', 'from', 'person', 'devices']","['need for systems, devices, and methods that can enable a remote monitoring of patient compliance', 'difficult for transferring a person to and from the wheelchair', 'difficulty related to raise an elderly person or a person with reduced mobility that has fallen on a floor']"
0,2295,0_of_the_to_and,"['of', 'the', 'to', 'and', 'for', 'in', 'or', 'risk', 'infertility', 'care']","['risk of injury to the caregiver', 'challenges in taking care of their health at home', 'elderly individuals that are at risk of falling']"
1,48,1_retirement_benefits_income_funded,"['retirement', 'benefits', 'income', 'funded', 'pension', 'employer', 'plans', 'affecting', 'benefit', 'insufficient']","['loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits']"
2,22,2_visual_acuity_image_images,"['visual', 'acuity', 'image', 'images', 'inherently', 'noisy', 'limited', 'biological', 'view', 'bandwidth']","['limited visual acuity', 'limited visual acuity', 'limited visual acuity']"
3,21,3_bulky_configuration_large_space,"['bulky', 'configuration', 'large', 'space', 'certainly', 'design', 'complicated', 'portable', 'not', 'construction']","['bulky configuration', 'bulky configuration', 'bulky configuration']"
4,18,4_wearable_devices_irritations_usage,"['wearable', 'devices', 'irritations', 'usage', 'skin', 'might', 'lead', 'long', 'user', 'term']","['long term usage of wearable devices might lead to user skin irritations', 'long term usage of wearable devices might lead to user skin irritations', 'long term usage of wearable devices might lead to user skin irritations']"
5,17,5_appetite_quantities_eat_forgetting,"['appetite', 'quantities', 'eat', 'forgetting', 'intake', 'food', 'confusion', 'appropriate', 'homeostasis', 'nutritional']","['confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake']"
6,14,6_child_error_predators_repeated,"['child', 'error', 'predators', 'repeated', 'errors', 'failure', 'numerous', 'driver', 'voluntarily', 'inform']","['driver error', 'child voluntarily posts personal information', 'child predators frequently instruct the child not to inform their parents']"
7,13,7_lh_premature_levels_fsh,"['lh', 'premature', 'levels', 'fsh', 'surges', 'hormone', 'low', 'surge', 'serum', 'determinations']","['low lh levels', 'low lh levels', 'low lh levels']"
8,13,8_pressure_localized_stresses_shear,"['pressure', 'localized', 'stresses', 'shear', 'high', 'sores', 'on', 'skin', 'patient', 'exerted']","['high localized shear and pressure stresses', 'high localized shear and pressure stresses', 'high localized shear and pressure stresses on the patient']"
9,12,9_factors_environmental_genetic_weather,"['factors', 'environmental', 'genetic', 'weather', 'diet', 'culturing', 'disruption', 'influences', 'environment', 'varying']","['environmental factors', 'environmental factors', 'environmental factors']"
10,11,10_sensitivity_points_activation_fixed,"['sensitivity', 'points', 'activation', 'fixed', 'known', 'systems', 'low', 'such', 'observer', 'variations']","['low sensitivity for known systems', 'low sensitivity for such known systems', 'low sensitivity for such known systems']"
11,10,11_chromosome_abnormalities_error_chromosomal,"['chromosome', 'abnormalities', 'error', 'chromosomal', 'aneuploidy', 'increased', 'rate', 'placement', 'phenotypes', 'aneuploidies']","['increased chromosome error rate', 'increased chromosome error rate', 'increased chromosome error rate']"
12,10,12_components_unreliable_breakage_prone,"['components', 'unreliable', 'breakage', 'prone', 'several', 'additional', 'large', 'key', 'adding', 'component']","['have several unreliable components', 'several unreliable components', 'unreliable components']"
13,9,13_investment_sophistication_value_goods,"['investment', 'sophistication', 'value', 'goods', 'fair', 'buy', 'buyers', 'willing', 'determine', 'finding']","['difficulties finding buyers willing to buy their goods for a fair value', 'difficulties finding buyers willing to buy their goods for a fair value', 'difficulties finding buyers willing to buy their goods for a fair value']"
14,9,14_drawbacks_challenges_and_proven,"['drawbacks', 'challenges', 'and', 'proven', 'unaddressed', 'indirect', 'performance', 'challenging', 'hurdles', 'remain']","['challenges and drawbacks', 'challenges and drawbacks', 'challenges and drawbacks']"
15,8,15_recognition_directions_cooking_preparations,"['recognition', 'directions', 'cooking', 'preparations', 'eating', 'preparation', 'food', 'following', 'difficulty', 'lack']","['difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions']"
16,8,16_record_pedometers_erroneously_store,"['record', 'pedometers', 'erroneously', 'store', 'movements', 'data', 'most', 'than', 'often', 'do']","['pedometers often erroneously record movements other than walking', 'pedometers often erroneously record movements other than walking', 'pedometers often erroneously record movements other than walking']"
17,8,17_solutions_sufficient_problems_current,"['solutions', 'sufficient', 'problems', 'current', 'these', 'are', 'not', 'debility', 'grading', 'limitation']","['current solutions to these problems are not sufficient', 'current solutions to these problems are not sufficient', 'current solutions to these problems are not sufficient']"
18,8,18_collapsibility_limited_limitation_physical,"['collapsibility', 'limited', 'limitation', 'physical', '', '', '', '', '', '']","['limited collapsibility', 'limited collapsibility', 'limited collapsibility']"
19,7,19_deaths_125_000_us,"['deaths', '125', '000', 'us', 'casualties', 'each', 'approximately', 'year', 'human', 'annually']","['125,000 deaths', 'approximately 125,000 deaths in the us each year', 'approximately 125,000 deaths in the us each year']"
20,7,20_prior_art_disadvantages_devices,"['prior', 'art', 'disadvantages', 'devices', 'none', 'invention', 'implementations', 'unique', 'disclose', 'present']","['disadvantages of the prior art', 'disadvantages of prior art devices', 'disadvantages of prior art devices']"
21,7,21_endometriosis_thin_endometrial_endometrium,"['endometriosis', 'thin', 'endometrial', 'endometrium', 'modulation', 'breast', 'receptivity', 'cancer', 'insufficient', 'ovarian']","['endometriosis', 'endometriosis', 'endometriosis']"
22,6,22_losses_loss_irreversible_economic,"['losses', 'loss', 'irreversible', 'economic', 'function', 'wages', 'work', 'of', '', '']","['economic losses', 'irreversible loss of function', 'irreversible loss of function']"
23,6,23_cell_shape_topology_division,"['cell', 'shape', 'topology', 'division', 'boundaries', 'deformation', 'mass', 'changing', 'missing', 'movement']","['missing and/or false cell boundaries', 'changing topology of the cell mass due to the cell division/and or cell movement', 'changing topology of the cell mass due to the cell division/and or cell movement']"
