Topic,Count,Name,Representation,Representative_Docs
-1,378,-1_treatments_medications_who_rates,"['treatments', 'medications', 'who', 'rates', 'get', 'other', 'polycystic', 'ovary', 'lower', 'systems']","['personal emergency response systems (pers) are simply failing to provide an acceptable level of efficacy', 'over-exposure to these environmental conditions can reduce the potency or efficacy of the medications', 'over-exposure to these environmental conditions can reduce the potency or efficacy of the medications']"
0,174,0_elderly_impaired_life_population,"['elderly', 'impaired', 'life', 'population', 'decline', 'mobility', 'activities', 'functional', 'disabilities', 'challenged']","['elderly', 'elderly population', 'the elderly']"
1,147,1_expensive_drawbacks_these_compression,"['expensive', 'drawbacks', 'these', 'compression', 'challenges', 'points', 'rape', 'activation', 'breakage', 'sufficient']","['current solutions to these problems are not sufficient', 'current solutions to these problems are not sufficient', 'relatively expensive and have additional components prone to breakage']"
2,115,2_positioning_location_recognize_posture,"['positioning', 'location', 'recognize', 'posture', 'technologies', 'rely', 'workforce', 'body', 'pedometers', 'cannot']","['cannot recognize the human body positioning and posture', 'wearable devices cannot recognize the human body positioning and posture', 'wearable devices cannot recognize the human body positioning and posture']"
3,107,3_medication_prescribed_medications_adherence,"['medication', 'prescribed', 'medications', 'adherence', 'take', 'taking', 'taken', 'regimen', 'compliance', 'regimens']","['failure to take a prescribed medication for treatment of heart disease', 'failure to take a medication when prescribed', 'non-compliance with a prescribed regimen of one or more medications']"
4,103,4_absence_information_functions_integrated,"['absence', 'information', 'functions', 'integrated', 'nervous', 'central', 'activity', 'lack', 'predators', 'date']","['loss of integrated central nervous system functions', 'loss of integrated central nervous system functions', 'loss of integrated central nervous system functions']"
5,68,5_common_problem_conditions_medical,"['common', 'problem', 'conditions', 'medical', 'health', 'hazard', 'chronic', 'condition', 'severe', 'comatose']","['common health problem', 'common health problem', 'common health problem']"
6,64,6_lifting_position_sitting_seated,"['lifting', 'position', 'sitting', 'seated', 'standing', 'moving', 'manual', 'unassisted', 'lift', 'chair']","['manual moving, lifting, and/or rolling of the patient', 'manual moving, lifting, and/or rolling of the patient', 'difficulty in moving a person from a seated position to a standing position']"
7,60,7_falling_falls_fall_seniors,"['falling', 'falls', 'fall', 'seniors', 'death', 'leading', 'cause', 'risk', 'after', 'floor']","['falls are the leading cause of accidental death for seniors', 'one fifth of falling elders are admitted to hospital after staying on floor for over one hour following a fall', 'one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall']"
8,53,8_caregiver_burden_caregivers_supportive,"['caregiver', 'burden', 'caregivers', 'supportive', 'caregiving', 'types', 'small', 'residences', 'professional', 'homes']","['anxiety that these elderly and disabled persons are safe and secure in their own residences', 'anxiety that these elderly and disabled persons are safe and secure in their own residences', 'great burden to the caregiver']"
9,49,9_strength_muscle_muscles_upper,"['strength', 'muscle', 'muscles', 'upper', 'limbs', 'flexibility', 'supported', 'his', 'coordination', 'tend']","['coordination, muscle strength, and balance tend to deteriorate with age', 'coordination, muscle strength, and balance tend to deteriorate with age', 'coordination, muscle strength, and balance tend to deteriorate with age']"
10,48,10_falls_addressed_real_monitored,"['falls', 'addressed', 'real', 'monitored', 'accidental', 'repercussions', 'fall', 'detection', 'social', 'prevention']","['falls are monitored and addressed in real time', 'falls are monitored and addressed in real time', 'falls are monitored and addressed in real time']"
11,47,11_dangerous_false_detects_alarms,"['dangerous', 'false', 'detects', 'alarms', 'miss', 'abnormal', 'warning', 'anomalous', 'situation', 'positives']","['high rate of false alarms and miss-detects', 'high rate of false alarms and miss-detects', 'high rate of false alarms and miss-detects']"
12,42,12_nursing_cost_delivery_homes,"['nursing', 'cost', 'delivery', 'homes', 'dependence', 'upon', 'home', 'healthcare', 'general', 'care']","['dependence upon the delivery of home health and general care', 'dependence upon the delivery of home health and general care', 'dependence upon the delivery of home health and general care']"
13,34,13_wheelchairs_wheelchair_standard_evaluating,"['wheelchairs', 'wheelchair', 'standard', 'evaluating', 'activity', 'motorized', 'special', 'foldable', 'vehicles', 'transferring']","['fixed back of standard wheelchairs', 'motorized wheelchairs are relatively expensive', 'motorized wheelchairs are relatively expensive']"
14,34,14_anxiety_felt_distress_taker,"['anxiety', 'felt', 'distress', 'taker', 'levels', 'ones', 'loved', 'hopeful', 'expectant', 'jostling']","['anxiety felt by their loved ones', 'anxiety felt by their loved ones', 'anxiety felt by their loved ones']"
15,33,15_walking_stairs_maintaining_difficulty,"['walking', 'stairs', 'maintaining', 'difficulty', 'assistance', 'walk', 'without', 'safely', 'walkers', 'aid']","['difficulty walking without assistance', 'difficulty in walking', 'difficulty walking']"
16,33,16_emergency_calls_voip_making,"['emergency', 'calls', 'voip', 'making', 'reliability', 'based', 'misrouted', 'call', 'locating', 'operator']","['reliability in making emergency calls', 'reliability in making emergency calls', 'reliability in making emergency calls']"
17,32,17_pregnancy_achieving_probability_couple,"['pregnancy', 'achieving', 'probability', 'couple', 'reporting', 'optimistic', 'overestimating', 'overly', '18', 'biochemical']","[""overestimating the couple's probability of achieving a pregnancy"", ""overestimating the couple's probability of achieving a pregnancy"", 'reporting an overly optimistic probability of achieving a pregnancy']"
18,28,18_mobility_reduced_limited_restricting,"['mobility', 'reduced', 'limited', 'restricting', 'girt', 'decreased', 'aiding', 'decreases', 'demand', 'various']","['reduced mobility', 'reduced mobility', 'mobility']"
19,27,19_ovulate_atresia_mammals_humans,"['ovulate', 'atresia', 'mammals', 'humans', 'anovulatory', 'subfertility', 'follicular', 'premature', 'reproductive', 'ovulation']","['failure to ovulate', 'subfertility and infertility in mammals', 'failure to ovulate']"
20,27,20_themselves_living_individuals_alone,"['themselves', 'living', 'individuals', 'alone', 'discomfort', 'lives', 'unacceptable', 'restraining', 'unwell', 'ppg']","['individuals living by themselves', 'individuals living by themselves', 'individuals living by themselves']"
21,27,21_compliance_non_safety_admissions,"['compliance', 'non', 'safety', 'admissions', 'contraindications', 'caused', 'compliant', 'intended', 'myriad', 'passivate']","['non-compliance', 'non-compliance', 'non-compliance']"
22,25,22_miscarriage_increase_rates_preeclampsia,"['miscarriage', 'increase', 'rates', 'preeclampsia', 'pregnancies', 'eclampsia', 'miscarriages', 'higher', 'hypertensive', 'multiple']","['miscarriage', 'miscarriage', 'miscarriage']"
23,25,23_eggs_matured_produce_embryos,"['eggs', 'matured', 'produce', 'embryos', 'embryo', 'selection', 'vitro', 'viability', 'fully', 'highly']","['inability to produce fully-matured eggs', 'inability to produce fully-matured eggs', 'inability to produce fully-matured eggs']"
24,24,24_aging_age_population_old,"['aging', 'age', 'population', 'old', 'degenerative', 'rapidly', 'deteriorate', 'society', 'advanced', 'workforce']","['aging population', 'aging population', 'aging population']"
25,24,25_injury_trauma_injuries_head,"['injury', 'trauma', 'injuries', 'head', 'brain', 'bodily', 'further', 'serious', 'occurs', 'bruised']","['higher risks of bodily injury', 'serious injury, such as hip fractures and head trauma', 'injury']"
26,22,26_gestations_multiple_resulted_births,"['gestations', 'multiple', 'resulted', 'births', '30', 'pregnancies', 'gestation', 'preterm', 'live', 'associated']","['30% of live births resulted in multiple gestations', '30% of live births resulted in multiple gestations', '30% of live births resulted in multiple gestations']"
27,21,27_driving_road_restraints_reckless,"['driving', 'road', 'restraints', 'reckless', 'misbehavior', 'accident', 'vehicle', 'requirements', 'technical', 'safe']","['reckless driving', 'lack of safe driving restraints', 'lack of safe driving restraints']"
28,21,28_retirement_income_benefits_insufficient,"['retirement', 'income', 'benefits', 'insufficient', 'affecting', 'guaranteed', 'needs', 'problems', 'related', 'health']","['health-related problems affecting retirement income needs', 'health-related problems affecting retirement income needs', 'health-related problems affecting retirement income needs']"
29,21,29_embryos_identify_most_implant,"['embryos', 'identify', 'most', 'implant', 'suitable', 'talks', 'blastocysts', 'viable', 'cross', 'major']","['identify the embryos that are most suitable for transfer and most likely to result in term pregnancy', 'major challenges has been to identify the embryos that are most suitable for transfer', 'major challenges has been to identify the embryos that are most suitable for transfer']"
30,20,30_infertility___,"['infertility', '', '', '', '', '', '', '', '', '']","['infertility', 'infertility', 'infertility']"
31,20,31_implantation_failure_implant_successful,"['implantation', 'failure', 'implant', 'successful', 'unstable', 'while', 'poorly', 'rates', 'low', 'recurrent']","['implantation failure', 'implantation failure', 'implantation failure']"
32,19,32_capabilities_concepts_instructions_understand,"['capabilities', 'concepts', 'instructions', 'understand', 'diminished', 'declines', 'ability', 'sudden', 'reduced', 'orientation']","['diminished ability to understand concepts or instructions', 'diminished ability to understand concepts or instructions', 'diminished ability to understand concepts or instructions']"
33,19,33_late_admission_increases_dehydration,"['late', 'admission', 'increases', 'dehydration', 'pneumonia', 'hypothermia', 'admissions', 'hospital', 'overall', 'risk']","['late admission increases the risk of dehydration', 'late admission increases the risk of dehydration', 'late admission increases the risk of dehydration']"
34,18,34_fetuses_mother_outcomes_both,"['fetuses', 'mother', 'outcomes', 'both', 'adverse', 'documented', 'gestations', 'well', 'multiple', 'have']","['adverse outcomes for both the mother and fetuses', 'adverse outcomes for both the mother and fetuses', 'adverse outcomes for both the mother and fetuses']"
35,18,35_understanding_basic_development_art,"['understanding', 'basic', 'development', 'art', 'embryo', 'relate', 'limited', 'human', 'difficult', 'enhanced']","['limited understanding in the art of basic embryo development', 'limited understanding in the art of basic embryo development', 'limited understanding in the art of basic embryo development']"
36,17,36_industry_render_older_hazards,"['industry', 'render', 'older', 'hazards', 'falls', 'incapable', 'calling', 'resulting', 'serious', 'injuries']","['injuries resulting from falls may render older individuals incapable of calling for help', 'injuries resulting from falls may render older individuals incapable of calling for help', 'injuries resulting from falls may render older individuals incapable of calling for help']"
37,17,37_experiencing_faced_alone_emergency,"['experiencing', 'faced', 'alone', 'emergency', 'might', 'being', 'problem', 'higher', 'medical', 'an']","['being alone might be a problem when faced with an emergency', 'being alone might be a problem when faced with an emergency', 'being alone might be a problem when faced with an emergency']"
38,16,38_localized_stresses_pressure_shear,"['localized', 'stresses', 'pressure', 'shear', 'menopause', 'inguinal', 'dyspareunia', 'withdrawal', 'estrogen', 'exerted']","['high localized shear and pressure stresses', 'high localized shear and pressure stresses', 'high localized shear and pressure stresses on the patient']"
39,15,39_losses_wandering_financial_costs,"['losses', 'wandering', 'financial', 'costs', 'society', 'considerable', 'expense', 'monetary', 'manufacturing', 'debility']","['considerable expense to society', 'economic losses', 'economic losses']"
40,15,40_devices_wearable_operate_strictly,"['devices', 'wearable', 'operate', 'strictly', 'wears', 'acquisition', 'prefer', 'sophisticated', 'strap', 'reattachment']","['canvas sling tends to take more than one assistant to operate', 'passive unit-carried devices providing no distance and direction capabilities', 'repeated removing/reattachment wears down both the device and patience of the user']"
41,15,41_healthcare_costs_unnecessary_expenditure,"['healthcare', 'costs', 'unnecessary', 'expenditure', 'annual', 'estimated', 'rising', 'bills', 'utilization', 'expanding']","['rising healthcare costs', 'estimated $10 billion annual healthcare expenditure', 'estimated $10 billion annual healthcare expenditure']"
42,13,42_nonexistent_minimal_equipment_monitoring,"['nonexistent', 'minimal', 'equipment', 'monitoring', 'continuous', 'facilities', 'economically', 'include', 'no', 'feasible']","['minimal or nonexistent monitoring equipment', 'minimal or nonexistent monitoring equipment', 'minimal or nonexistent monitoring equipment']"
43,13,43_hormones_granulosa_proliferation_gonadotropins,"['hormones', 'granulosa', 'proliferation', 'gonadotropins', 'hormone', 'weeks', 'suppression', 'varying', 'responses', 'short']","['suppression of granulosa cell proliferation', '4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones', '4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones']"
44,13,44_eating_cooking_directions_preparation,"['eating', 'cooking', 'directions', 'preparation', 'homeostasis', 'nutritional', 'food', 'quantities', 'intake', 'confusion']","['difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions']"
45,13,45_nonexistent_minimal_equipment_facilities,"['nonexistent', 'minimal', 'equipment', 'facilities', 'washing', 'tub', 'hot', 'drying', 'at', 'similar']","['minimal or nonexistent monitoring equipment at home care facilities', 'minimal or nonexistent monitoring equipment at home care facilities', 'minimal or nonexistent monitoring equipment at home care facilities']"
46,13,46_continuous_supervision_general_necessary,"['continuous', 'supervision', 'general', 'necessary', 'as', 'well', 'units', 'adhere', 'assistant', 'medical']","['continuous general, as well as medical, supervision and care', 'continuous general, as well as medical, supervision and care', 'continuous general, as well as medical, supervision and care']"
47,13,47_assault_aggravated_abuse_victim,"['assault', 'aggravated', 'abuse', 'victim', 'comfortable', 'prevent', 'scared', 'feel', 'tightly', 'removal']","['assault', 'aggravated assault', 'aggravated assault']"
48,13,48_continuous_facilities_no_monitoring,"['continuous', 'facilities', 'no', 'monitoring', 'blood', 'patient', 'visiting', 'beeps', 'saturation', 'oxygen']","['no facilities for continuous monitoring of the patient', 'no facilities for continuous monitoring of the patient', 'no facilities for continuous monitoring of the patient']"
49,12,49_depression_inactivity_caused_severe,"['depression', 'inactivity', 'caused', 'severe', 'general', 'major', 'risks', 'by', 'for', '']","['depression', 'depression', 'depression']"
50,12,50_generally_consuming_very_visits,"['generally', 'consuming', 'very', 'visits', 'expensive', 'time', 'home', 'simple', 'intrusive', 'therapist']","['time consuming and generally very expensive home visits', 'time consuming and generally very expensive home visits', 'time consuming and generally very expensive home visits']"
51,12,51_off_side_resulting_injury,"['off', 'side', 'resulting', 'injury', 'injuries', 'carried', 'occur', 'provider', 'patient', 'setting']","['patient handling and resulting caregiver injury', 'injuries to the patient resulting from falling off the side of the bed', 'injuries to the patient resulting from falling off the side of the bed']"
52,12,52_sporadic_nurses_nature_visits,"['sporadic', 'nurses', 'nature', 'visits', 'home', 'by', 'follow', 'done', 'which', 'means']","['sporadic nature of home visits by nurses', 'sporadic nature of home visits by nurses', 'sporadic nature of home visits by nurses']"
53,12,53_injuring_crime_cell_program,"['injuring', 'crime', 'cell', 'program', 'childlessness', 'doing', 'pace', 'big', 'misuse', 'topology']","['uncertainty whether the social security program will continue to remain viable', 'social security program is not keeping pace with changes', 'changing topology of the cell mass due to the cell division/and or cell movement']"
54,12,54_birth_global_births_low,"['birth', 'global', 'births', 'low', 'rate', 'infection', 'delay', 'conception', 'poor', 'unknown']","['low birth rate', 'low birth rate', 'low birth rate']"
55,12,55_event_security_safety_related,"['event', 'security', 'safety', 'related', 'detrimental', 'monitored', 'health', 'timely', 'accident', 'affecting']","['health, safety, and/or security related event', 'health, safety, and/or security related event', 'health, safety, and/or security related event']"
56,11,56_ivf_et_ideal_success,"['ivf', 'et', 'ideal', 'success', 'less', 'experiments', 'diverse', 'failure', 'rate', 'causes']","['low success rate of ivf', 'less than ideal success rate of ivf/et', 'less than ideal success rate of ivf/et']"
57,11,57_prematurity_pre_birth_term,"['prematurity', 'pre', 'birth', 'term', 'infants', 'damage', 'preterm', 'long', 'weight', 'potential']","['pre-term birth', 'prematurity with potential for long term damage', 'prematurity with potential for long term damage']"
58,11,58_suits_implemented_expected_fashion,"['suits', 'implemented', 'expected', 'fashion', 'always', 'well', 'perceived', 'limits', 'needs', 'population']","['not always implemented in a fashion that well suits the needs of the expected user population', 'not always implemented in a fashion that well suits the needs of the expected user population', 'not always implemented in a fashion that well suits the needs of the expected user population']"
59,10,59_undesirable_invasive_live_transfer,"['undesirable', 'invasive', 'live', 'transfer', '300', 'pounds', 'friendly', 'periodic', 'extremely', 'may']","['live-in care may be undesirable and invasive', 'live-in care may be undesirable and invasive', 'live-in care may be undesirable and invasive']"
60,10,60_privacy_inherently_noisy_images,"['privacy', 'inherently', 'noisy', 'images', 'biological', 'victim', 'throw', 'attacker', 'confiscate', 'destroy']","[""attacker will destroy, confiscate, and/or throw a victim's phone away"", 'inherently noisy nature of biological images', 'inherently noisy nature of biological images']"
61,10,61_energy_alarm_signs_activating,"['energy', 'alarm', 'signs', 'activating', 'closely', 'wide', 'consumption', 'extra', 'abutting', 'presents']","['energy consumption of a motion sensing device', 'extra wide abutting surfaces do not always provide sufficient strength for long term use', 'conventional pers may also collect information on vital signs, such as heart rate and heart rate variability']"
62,10,62_feasible_supervision_continuous_economically,"['feasible', 'supervision', 'continuous', 'economically', 'portions', 'maintenance', 'experts', 'is', 'exert', 'manual']","['continuous supervision is not feasible', 'continuous supervision is not feasible', 'continuous supervision is not feasible']"
63,10,63_evaluation_lacking_methods_human,"['evaluation', 'lacking', 'methods', 'human', 'embryo', 'respects', 'thus', 'evaluate', 'several', 'are']","['methods of human embryo evaluation are lacking', 'methods of human embryo evaluation are lacking', 'methods of human embryo evaluation are lacking']"
64,10,64_diabetes_diseases_viral_progression,"['diabetes', 'diseases', 'viral', 'progression', 'infection', 'arthritis', 'disease', '', '', '']","['diabetes', 'diabetes', 'diabetes']"
65,10,65_bone_fractures_fracture_lengthy,"['bone', 'fractures', 'fracture', 'lengthy', 'resulting', 'brittle', 'vertebral', 'treatment', 'costly', 'osteoporosis']","['resulting bone fractures can require lengthy and costly treatment', 'resulting bone fractures can require lengthy and costly treatment', 'resulting bone fractures can require lengthy and costly treatment']"
66,9,66_syndrome_hyperstimulation_ohss_ovarian,"['syndrome', 'hyperstimulation', 'ohss', 'ovarian', 'hyper', 'incidence', 'stimulation', 'achieving', 'increased', 'risk']","['ovarian hyperstimulation syndrome (ohss)', 'ovarian hyperstimulation syndrome (ohss)', 'ovarian hyperstimulation syndrome (ohss)']"
67,9,67_pregnancies_multiple_order_trisomic,"['pregnancies', 'multiple', 'order', 'trisomic', 'pregnancy', 'high', '', '', '', '']","['multiple pregnancies', 'multiple pregnancies', 'multiple pregnancies']"
68,9,68_maternal_perinatal_neonatal_morbidity,"['maternal', 'perinatal', 'neonatal', 'morbidity', 'fetal', 'risks', 'mortality', 'mothers', 'infant', 'suffering']","['maternal and perinatal risks', 'maternal and perinatal risks', 'maternal and perinatal risks']"
69,9,69_chromosome_abnormalities_error_chromosomal,"['chromosome', 'abnormalities', 'error', 'chromosomal', 'segregation', 'aneuploidies', 'placement', 'devastating', 'trisomic', 'aneuploidy']","['increased chromosome error rate', 'increased chromosome error rate', 'increased chromosome error rate']"
70,9,70_needs_urgent_trip_incontinence,"['needs', 'urgent', 'trip', 'incontinence', 'paralysis', 'specialized', 'total', 'unnecessary', 'different', 'care']","['incontinence needs', 'unnecessary and costly trip to the hospital', 'urgent need by one of the monitored individuals']"
71,9,71_citizens_senior_seniors_disoriented,"['citizens', 'senior', 'seniors', 'disoriented', 'wants', 'missing', 'place', 'become', 'rise', 'growing']","['senior citizens', 'senior citizens', 'senior citizens']"
72,9,72_premature_luteinization_ovarian_disturbances,"['premature', 'luteinization', 'ovarian', 'disturbances', 'reserve', 'ovulatory', 'luteinizing', 'surges', 'luteolysis', 'response']","['premature surges of luteinizing hormone (lh)', 'premature luteinization', 'premature luteinization']"
73,9,73_infertility___,"['infertility', '', '', '', '', '', '', '', '', '']","['infertility', 'infertility', 'infertility']"
74,9,74_investment_sophistication_forgetfulness_determine,"['investment', 'sophistication', 'forgetfulness', 'determine', 'vehicles', 'needed', 'appropriate', 'skill', 'handles', 'eat']","['lack of investment sophistication', 'lack of sophistication needed to determine appropriate investment vehicles', 'lack of sophistication needed to determine appropriate investment vehicles']"
75,9,75_plans_pension_benefit_employers,"['plans', 'pension', 'benefit', 'employers', 'defined', 'decrease', 'offer', 'offering', 'number', 'retirement']","['decrease in the number of employers that offer defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans', 'decrease in the number of employers that offer defined retirement benefit pension plans']"
76,9,76_funded_employer_benefits_retirement,"['funded', 'employer', 'benefits', 'retirement', 'loss', 'compensation', 'case', 'worker', 'guaranteed', 'income']","['loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits']"
77,8,77_abortion_spontaneous_27_irregular,"['abortion', 'spontaneous', '27', 'irregular', 'bleeding', 'recurrent', 'uterine', 'rate', 'of', '']","['spontaneous abortion', 'spontaneous abortion', 'spontaneous abortion']"
78,8,78_emergencies_dangers_accidents_relating,"['emergencies', 'dangers', 'accidents', 'relating', 'embarrassment', 'trucks', 'driveway', 'public', 'ambulance', 'fire']","['dangers of accidents and emergencies', 'dangers of accidents and emergencies', 'dangers of accidents and emergencies']"
