Topic,Count,Name,Representation,Representative_Docs
-1,638,-1_person_with_to_the,"['person', 'with', 'to', 'the', 'transfer', 'users', 'or', 'people', 'posture', 'persons']","['physiological complications associated with being unable to perform certain tasks unassisted', ""difficult to accurately access and record a person's condition and range of motion"", 'elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own']"
0,441,0_infertility_embryos_pregnancy_embryo,"['infertility', 'embryos', 'pregnancy', 'embryo', 'ovarian', 'implantation', 'rates', 'miscarriage', 'ivf', 'multiple']","['viability and pregnancy potential of oocytes and pre-embryos', 'failure to correctly identify the most viable embryos can lead to unsuccessful ivf treatment or multiple gestation pregnancy', 'poor implantation rate of ivf embryos']"
1,161,1_injury_health_injuries_consequences,"['injury', 'health', 'injuries', 'consequences', 'severe', 'serious', 'death', 'risk', 'adverse', 'physical']","[""serious consequences to the patient's health"", 'risk of injury', 'risk of injury to the patient']"
2,104,2_medication_medications_prescribed_compliance,"['medication', 'medications', 'prescribed', 'compliance', 'adherence', 'taken', 'take', 'regimens', 'regimen', 'noncompliance']","['medication compliance', 'failure to take a medication when prescribed', 'non-compliance with a prescribed regimen of one or more medications']"
3,99,3_elderly_aging_population_older,"['elderly', 'aging', 'population', 'older', 'elders', 'seniors', 'caring', 'smartphone', 'senior', 'growing']","['elderly population', 'aging population', 'aging of the population']"
4,73,4_caregivers_caregiver_assistance_care,"['caregivers', 'caregiver', 'assistance', 'care', 'needs', 'handling', 'caregiving', 'inaccurate', 'others', 'needed']","['inaccurate or improper handling and lifting of a patient by caregivers', 'inaccurate or improper handling and lifting of an individual by caregivers', 'require more assistance from another person or caregiver']"
5,94,5_mobility_disability_wheelchair_mobilityimpaired,"['mobility', 'disability', 'wheelchair', 'mobilityimpaired', 'permanent', 'totally', 'impaired', 'reduced', 'disabled', 'configuration']","['limited mobility', 'mobility', 'lack of mobility']"
6,92,6_cognitive_balance_memory_loss,"['cognitive', 'balance', 'memory', 'loss', 'capacity', 'stability', 'function', 'drawbacks', 'ability', 'load']","['reduction in memory and cognitive function', 'cognitive function', 'loss of physical and cognitive function']"
7,54,7_position_sitting_standing_down,"['position', 'sitting', 'standing', 'down', 'chair', 'up', 'from', 'impossible', 'seated', 'stand']","['difficulty standing up and sitting down', 'difficulty in standing up and sitting down', 'difficult in rising from the sitting position to the standing position']"
8,72,8_falls_falling_fall_injuries,"['falls', 'falling', 'fall', 'injuries', 'acute', 'accidental', 'risk', 'reduces', 'quickly', 'fear']","['risk for falls', 'risk of falls', 'falls']"
9,61,9_costs_expensive_financial_costly,"['costs', 'expensive', 'financial', 'costly', 'procedure', 'cost', 'emotional', 'substantial', 'burden', 'economic']","['financial cost', 'significant human and financial costs', 'substantial emotional and financial costs']"
10,59,10_healthcare_costs_cost_care,"['healthcare', 'costs', 'cost', 'care', 'unnecessary', 'health', 'home', 'annual', 'hospitalization', 'medical']","['additional healthcare costs', 'health care costs', 'cost of health care']"
11,37,11_devices_device_portable_assistive,"['devices', 'device', 'portable', 'assistive', 'cumbersome', 'transport', 'result', 'operate', 'can', 'unstable']","['software viruses and other malware can result in crashing of the device', 'large, heavy, cumbersome, and costly assistive devices', 'need for a lightweight, easily collapsible, portable, and storable assistive mobility device']"
12,49,12_emergency_response_calls_connection,"['emergency', 'response', 'calls', 'connection', 'personal', 'blocking', 'pers', 'relating', 'voipbased', 'services']","['failure of the bluetooth connection or the wi-fi connection in the conventional personal emergency response system', 'need of emergency response services', 'reliance on personal emergency response systems (pers)']"
13,33,13_muscle_muscles_strength_weak,"['muscle', 'muscles', 'strength', 'weak', 'flexibility', 'stretching', 'bearing', 'limbs', 'joints', 'lack']","['inability to initiate basic weight bearing and muscle rebuilding', 'lack of weight-bearing muscle use', 'weak, elderly and disabled patients typically lack the core muscle strength']"
14,33,14_user_users_input_activate,"['user', 'users', 'input', 'activate', 'use', 'uncomfortable', 'actions', 'annoy', 'analyze', 'lessfunctional']","['not always implemented in a fashion that well suits the needs of the expected user population', 'if the user is unable to activate the input, no assistance is summoned', 'users to manually activate an input to summon assistance']"
15,32,15_lifts_lift_lifting_lowering,"['lifts', 'lift', 'lifting', 'lowering', 'patient', 'patients', 'moving', 'found', 'manual', 'heavy']","['myriad of patient lifts on the market tend to passivate patients', 'not found a lift device specifically designed to lift and lower ambulatory patients', 'not found a portable lift and lowering device affordable to most people']"
16,31,16_one_falls_staying_fifth,"['one', 'falls', 'staying', 'fifth', 'falling', 'are', 'over', 'admitted', 'hour', 'elderly']","['one fifth of falling elders are admitted to hospital after staying on the floor for over one hour', 'one fifth of falling elders are admitted to hospital after staying on floor for over one hour following a fall', 'one fifth of falling elders are admitted to hospital after staying on the floor for over one hour following a fall']"
17,31,17_activity_activities_daily_inactivity,"['activity', 'activities', 'daily', 'inactivity', 'hour', 'living', 'change', 'decreased', 'aversion', 'respective']","['decreased level of physical activity', 'sudden change of activity (or inactivity)', 'decreased activity']"
18,34,18_abuse_abuser_violence_domestic,"['abuse', 'abuser', 'violence', 'domestic', 'victim', 'assault', 'bullying', 'crimes', 'fearful', 'local']","['limited use to protect victims of domestic violence', 'domestic violence', 'violence and domestic abuse']"
19,35,19_button_alert_alarm_shock,"['button', 'alert', 'alarm', 'shock', 'panic', 'false', 'alarms', 'press', 'warning', 'push']","['client could be unconscious or unable to press a panic button', 'an elderly patient with a severe fatality may not be able to press the panic alert button after a fall', 'conventional monitoring systems require a user to push a panic alert button']"
20,43,20_monitoring_nonexistent_minimal_facilities,"['monitoring', 'nonexistent', 'minimal', 'facilities', 'consistency', 'continuity', 'equipment', 'sensors', 'data', 'continuous']","['minimal or nonexistent monitoring equipment', 'monitoring equipment at home care facilities is usually minimal or nonexistent', 'minimal or nonexistent monitoring equipment at home care facilities']"
21,23,21_walking_impediment_walk_difficulty,"['walking', 'impediment', 'walk', 'difficulty', 'without', 'assistance', 'aid', 'walkers', 'due', 'adapted']","['difficulty walking without a walking aid', 'difficulty walking', 'difficulty in walking']"
22,26,22_wearable_sensor_tilt_irritations,"['wearable', 'sensor', 'tilt', 'irritations', 'devices', 'wearer', 'drawbacks', 'worn', 'might', 'usage']","['wearable device is not being worn by the user', 'long term usage of wearable might lead to user skin irritations', 'long term usage of wearable devices might lead to user skin irritations']"
23,23,23_detection_real_addressed_detecting,"['detection', 'real', 'addressed', 'detecting', 'fall', 'falls', 'detect', 'monitored', 'accelerometric', 'along']","['detection of individual falls', 'conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection', 'fall detection']"
24,27,24_nursing_homes_sporadic_nature,"['nursing', 'homes', 'sporadic', 'nature', 'visits', 'nurses', 'advised', 'home', 'admitted', 'get']","['sporadic nature of home visits by nurses', 'advised to get admitted to nursing homes', 'home visits of nurses which are of sporadic nature']"
25,38,25_alone_loneliness_being_live,"['alone', 'loneliness', 'being', 'live', 'lives', 'relief', 'anyone', 'lonely', 'long', 'higher']","['higher risk of being alone and experiencing an emergency', 'higher risk of being alone', 'being alone']"
26,15,26_motion_movement_stability_range,"['motion', 'movement', 'stability', 'range', 'passage', 'sequence', 'free', 'hamper', 'nonmovement', 'hinged']","['decreased range of motion', 'too much range of motion', 'front leg is hinged to the rear leg to enable steering of the rolling cane']"
27,18,27_admissions_hospital_10_30,"['admissions', 'hospital', '10', '30', '65', 'noncompliance', '90', 'over', 'age', 'errors']","['10% of hospital admissions related to medication issues', '30% of all hospital admissions for people over the age of 65', '10% of hospital admissions']"
28,19,28_success_rate_ivf_low,"['success', 'rate', 'ivf', 'low', 'treatments', 'average', 'twentysix', 'model', 'unpredictable', 'experiments']","['success rates are low', 'low success rates', 'low success rate of ivf']"
29,20,29_heavy_large_structure_bulky,"['heavy', 'large', 'structure', 'bulky', 'complicated', 'fastening', 'materials', 'construction', 'designs', 'deteriorates']","['heavy, stationary equipment', 'material ages with time and its ability to carry a load deteriorates', 'large, heavy, bulky, complicated, and time consuming to setup and use']"
30,20,30_discomfort_psychologically_distress_traumatic,"['discomfort', 'psychologically', 'distress', 'traumatic', 'uncomfortable', 'ethical', 'feelings', 'implications', 'unsafe', 'wearing']","['discomfort to the patient', 'psychologically traumatic for a patient', 'ethical and psychologically traumatic implications']"
31,16,31_walker_walkers_accommodation_heavily,"['walker', 'walkers', 'accommodation', 'heavily', 'toward', 'backwardly', 'bars', 'tip', 'stabilizing', 'seatbelts']","['instability of a walker when it is not placed upon a level footing', 'conventional rolling walker does not have dedicated feet support elements', 'not attached to the walker']"
32,18,32_connectivity_network_registered_overloaded,"['connectivity', 'network', 'registered', 'overloaded', 'networks', 'locations', 'mobile', 'into', 'wireless', 'cellular']","['limiting registered locations for mobile devices', 'limitations of registered locations for mobile devices', 'lack of wi-fi or other network connectivity']"
