Topic,Count,Name,Representation,Representative_Docs
-1,901,-1_of_the_to_and,"['of', 'the', 'to', 'and', 'or', 'for', 'from', 'in', 'person', 'require']","['physical pain and/or damage to the bed-ridden person', 'if a crippled or elderly person falls, often that person cannot get up under their own power', 'elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own']"
0,1756,0_of_the_and_to,"['of', 'the', 'and', 'to', 'emergency', 'for', 'or', 'care', 'in', 'mobility']","['risk of injury to the person', 'no facilities for continuous monitoring of the patient', 'no facilities for continuous monitoring of the patient']"
1,377,1_infertility_implantation_multiple_ivf,"['infertility', 'implantation', 'multiple', 'ivf', 'pregnancy', 'gestations', 'ovarian', 'rate', 'low', 'rates']","['infertility', 'infertility', 'infertility']"
2,115,2_medication_medications_prescribed_adherence,"['medication', 'medications', 'prescribed', 'adherence', 'compliance', 'take', 'with', 'regimen', 'taking', 'taken']","['non-compliance with a prescribed regimen of one or more medications', 'medication compliance', 'medication compliance']"
3,57,3_embryo_development_human_understanding,"['embryo', 'development', 'human', 'understanding', 'embryos', 'basic', 'relate', 'methods', 'art', 'evaluation']","['limited understanding in the art of basic embryo development', 'limited understanding in the art of basic embryo development', 'limited understanding in the art of basic embryo development']"
4,54,4_retirement_benefits_income_plans,"['retirement', 'benefits', 'income', 'plans', 'funded', 'employer', 'pension', 'affecting', 'benefit', 'insufficient']","['loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits', 'loss of employer-funded retirement benefits']"
5,40,5_traffic_accidents_congestion_road,"['traffic', 'accidents', 'congestion', 'road', 'collisions', 'red', 'driving', 'seatbelts', 'laws', 'slower']","['traffic accidents', 'traffic accidents', 'traffic accidents']"
6,23,6_bulky_configuration_large_space,"['bulky', 'configuration', 'large', 'space', 'certainly', 'design', 'impractical', 'cumbersome', 'not', 'complicated']","['bulky configuration', 'bulky configuration', 'bulky configuration']"
7,19,7_appetite_quantities_eat_forgetting,"['appetite', 'quantities', 'eat', 'forgetting', 'intake', 'food', 'confusion', 'homeostasis', 'nutritional', 'appropriate']","['confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake', 'confusion about appropriate quantities of food intake']"
8,17,8_drawbacks_challenges_prior_art,"['drawbacks', 'challenges', 'prior', 'art', 'disadvantages', 'and', 'technologies', 'devices', 'invention', 'unique']","['challenges and drawbacks', 'challenges and drawbacks', 'challenges and drawbacks']"
9,14,9_lh_premature_levels_fsh,"['lh', 'premature', 'levels', 'fsh', 'luteolysis', 'luteinization', 'surges', 'low', 'initial', 'serum']","['low lh levels', 'low lh levels', 'premature lh surges']"
10,13,10_sensitivity_activation_points_systems,"['sensitivity', 'activation', 'points', 'systems', 'fixed', 'known', 'curve', 'learning', 'low', 'associated']","['low sensitivity for known systems', 'low sensitivity for such known systems', 'low sensitivity for such known systems']"
11,13,11_chromosome_aneuploidy_abnormalities_error,"['chromosome', 'aneuploidy', 'abnormalities', 'error', 'chromosomal', 'increased', 'rate', 'aberrant', 'segregation', 'phenotypes']","['increased chromosome error rate', 'increased chromosome error rate', 'increased chromosome error rate']"
12,12,12_eggs_egg_quality_produce,"['eggs', 'egg', 'quality', 'produce', 'matured', 'fully', 'decline', 'inability', 'maturation', 'immature']","['inability to produce fully-matured eggs', 'inability to produce fully-matured eggs', 'inability to produce fully-matured eggs']"
13,12,13_factors_environmental_genetic_weather,"['factors', 'environmental', 'genetic', 'weather', 'diet', 'culturing', 'disruption', 'influences', 'environment', 'varying']","['environmental factors', 'environmental factors', 'environmental factors']"
14,12,14_location_network_rely_existing,"['location', 'network', 'rely', 'existing', 'psap', 'e911', 'architecture', 'ascertain', 'bidâ', 'dispatchable']","['existing systems rely on the psap requesting location updates through a â\x80\x9cre-bidâ\x80\x9d process', 'existing location technologies rely on the network to identify the dispatchable location', 'existing location technologies rely on the network to identify the dispatchable location']"
15,12,15_blastocyst_transfer_zona_transplanted,"['blastocyst', 'transfer', 'zona', 'transplanted', 'qualify', 'escape', 'controversial', 'pellucida', 'blastocysts', 'arrested']","['blastocyst transfer is still controversial', 'not all women qualify for blastocyst transfer', 'not all women qualify for blastocyst transfer']"
16,11,16_components_unreliable_breakage_several,"['components', 'unreliable', 'breakage', 'several', 'prone', 'additional', 'adding', 'component', 'fastening', 'housings']","['have several unreliable components', 'unreliable components', 'several unreliable components']"
17,10,17_acuity_visual_limited_image,"['acuity', 'visual', 'limited', 'image', 'view', 'projected', 'whenever', 'heads', 'field', 'wish']","['limited visual acuity', 'limited visual acuity', 'limited visual acuity']"
18,9,18_endometriosis_endometrium_endometrial_thin,"['endometriosis', 'endometrium', 'endometrial', 'thin', 'uterine', 'modulation', 'breast', 'talks', 'cross', 'receptivity']","['lack of cross talks between the uterine endometrium and the embryo', 'thin endometrium', 'thin endometrium']"
19,9,19_cell_shape_granulosa_proliferation,"['cell', 'shape', 'granulosa', 'proliferation', 'boundaries', 'topology', 'deformation', 'division', 'mass', 'suppression']","['suppression of granulosa cell proliferation', 'changing topology of the cell mass due to the cell division/and or cell movement', 'changing topology of the cell mass due to the cell division/and or cell movement']"
20,9,20_record_pedometers_erroneously_store,"['record', 'pedometers', 'erroneously', 'store', 'movements', 'data', 'walking', 'most', 'than', 'often']","['pedometers often erroneously record movements other than walking', 'pedometers often erroneously record movements other than walking', 'pedometers often erroneously record movements other than walking']"
21,9,21_investment_sophistication_value_goods,"['investment', 'sophistication', 'value', 'goods', 'fair', 'buy', 'buyers', 'willing', 'determine', 'finding']","['difficulties finding buyers willing to buy their goods for a fair value', 'difficulties finding buyers willing to buy their goods for a fair value', 'difficulties finding buyers willing to buy their goods for a fair value']"
22,8,22_recognition_directions_cooking_preparations,"['recognition', 'directions', 'cooking', 'preparations', 'eating', 'preparation', 'food', 'following', 'difficulty', 'lack']","['difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions', 'difficulty with following cooking/preparation/eating directions']"
23,8,23_suits_expected_implemented_always,"['suits', 'expected', 'implemented', 'always', 'fashion', 'well', 'population', 'needs', 'user', 'that']","['not always implemented in a fashion that well suits the needs of the expected user population', 'not always implemented in a fashion that well suits the needs of the expected user population', 'not always implemented in a fashion that well suits the needs of the expected user population']"
24,8,24_collapsibility_limited_limitation_physical,"['collapsibility', 'limited', 'limitation', 'physical', '', '', '', '', '', '']","['limited collapsibility', 'limited collapsibility', 'limited collapsibility']"
25,8,25_compliance_non_compliant_75,"['compliance', 'non', 'compliant', '75', 'properly', 'monitor', 'only', 'problem', 'medical', 'failure']","['non-compliance', 'non-compliance', 'non-compliance']"
