Topic,Count,Name,Representation,Representative_Docs
-1,576,-1_walking_assist_drug_feet,"['walking', 'assist', 'drug', 'feet', 'persons', 'functional', 'morbidity', 'process', 'walker', 'chair']","['lift strength chair standing position', 'inaccuracies uncertainty monitoring drug systems', 'assist feet fallen difficult person']"
0,150,0_embryo_implantation_ivf_embryos,"['embryo', 'implantation', 'ivf', 'embryos', 'development', 'understanding', 'vitro', 'methods', 'cycle', 'relate']","['implantation potential variable term development', 'implantation potential variable term development', 'implantation ivf embryos rate poor']"
1,106,1_multiple_mother_pregnancies_fetuses,"['multiple', 'mother', 'pregnancies', 'fetuses', 'pregnancy', 'gestations', 'outcomes', 'achieving', 'probability', 'adverse']","['gestations fetuses outcomes mother multiple', 'gestations fetuses outcomes mother multiple', 'gestations fetuses outcomes mother multiple']"
2,103,2_medication_medications_adherence_prescribed,"['medication', 'medications', 'adherence', 'prescribed', 'regimen', 'regimens', 'compliance', 'taking', 'organizing', 'dose']","['adherence medication lack', 'prescribed medication failure', 'adherence medication']"
3,100,3_mobility_collapsibility_challenged_impaired,"['mobility', 'collapsibility', 'challenged', 'impaired', 'workforce', 'physically', 'limited', 'reduced', 'opportunities', 'confidence']","['mobility limited', 'mobility limited', 'mobility']"
4,85,4_emergency_emergencies_giver_shortage,"['emergency', 'emergencies', 'giver', 'shortage', 'making', 'efficient', 'relating', 'providing', 'experiencing', 'assistance']","['dangers emergencies accidents', 'shortage care giver', 'shortage care giver']"
5,83,5_infertility_fertility_female_conception,"['infertility', 'fertility', 'female', 'conception', 'treatments', 'reproductive', 'anovulatory', 'male', 'humans', 'inefficient']","['infertility', 'infertility', 'infertility']"
6,78,6_falling_falls_fall_hazards,"['falling', 'falls', 'fall', 'hazards', 'older', 'crippled', 'floor', '50', 'accidental', 'elderly']","['falling elderly risk individuals', 'falling elderly risk individuals', 'falling elderly risk individuals']"
7,77,7_aging_population_growing_senior,"['aging', 'population', 'growing', 'senior', 'citizens', 'world', 'elderly', 'apprise', 'older', 'infirm']","['aging population', 'aging population', 'aging population']"
8,66,8_standing_sitting_wheelchair_wheelchairs,"['standing', 'sitting', 'wheelchair', 'wheelchairs', 'position', 'positioning', 'posture', 'seated', 'recognize', 'motorized']","['sitting standing difficulty', 'sitting standing difficulty', 'wheelchair seated position moving standing']"
9,44,9_retirement_income_benefits_funded,"['retirement', 'income', 'benefits', 'funded', 'pension', 'employer', 'employers', 'benefit', 'guaranteed', 'decrease']","['retirement benefits loss employer funded', 'retirement benefits loss employer funded', 'retirement benefits loss employer funded']"
10,38,10_injuries_injury_worker_brain,"['injuries', 'injury', 'worker', 'brain', 'invalid', 'attempt', 'similar', 'case', 'compensation', 'unintended']","['injuries patient', 'injuries', 'injuries']"
11,37,11_consequences_condition_medical_catastrophic,"['consequences', 'condition', 'medical', 'catastrophic', 'conditions', 'dangerous', 'comatose', 'threatening', 'severe', 'health']","['consequences health severe', 'consequences patient health', 'consequences patient health']"
12,32,12_ovarian_syndrome_hyperstimulation_stimulation,"['ovarian', 'syndrome', 'hyperstimulation', 'stimulation', 'ovulation', 'ohss', 'polycystic', 'ovulate', 'ovary', 'selective']","['ovarian hyperstimulation syndrome ohss', 'ovarian hyperstimulation syndrome ohss', 'ovarian hyperstimulation syndrome ohss']"
13,32,13_costs_consuming_expensive_products,"['costs', 'consuming', 'expensive', 'products', 'financial', 'generally', 'substantial', 'emotional', 'market', 'time']","['expensive consuming generally time', 'expensive consuming generally time', 'expensive consuming generally time']"
14,30,14_minimal_nonexistent_equipment_monitoring,"['minimal', 'nonexistent', 'equipment', 'monitoring', 'facilities', 'unobtrusive', 'constant', 'instrumented', 'uninterrupted', 'just']","['monitoring equipment minimal nonexistent', 'monitoring equipment minimal nonexistent', 'monitoring equipment minimal nonexistent']"
15,26,15_healthcare_society_unnecessary_considerable,"['healthcare', 'society', 'unnecessary', 'considerable', 'expense', 'costs', 'hospitals', 'cost', 'economic', 'rising']","['expense society considerable', 'expense patient considerable society', 'expense patient considerable society']"
16,25,16_lifting_lift_lowering_exceeds,"['lifting', 'lift', 'lowering', 'exceeds', 'demanding', 'adult', 'handling', 'mechanical', 'inaccurate', 'forward']","['caregivers handling lifting patient inaccurate', 'lifting caregivers weight adult exceeds', 'lifting caregivers weight adult exceeds']"
17,23,17_traffic_congestion_red_collisions,"['traffic', 'congestion', 'red', 'collisions', 'speeding', 'reckless', 'passing', 'lights', 'accidents', 'driving']","['congestion traffic', 'congestion traffic', 'congestion traffic']"
18,23,18_violence_domestic_assault_rape,"['violence', 'domestic', 'assault', 'rape', 'murder', 'vulgarity', 'tormenting', 'harassing', 'aggravated', 'abuse']","['violence domestic', 'violence domestic', 'violence abuse domestic']"
19,22,19_addressed_detection_real_monitored,"['addressed', 'detection', 'real', 'monitored', 'detecting', 'occurrence', 'fall', 'falls', 'time', 'accelerometric']","['falls monitored real time addressed', 'falls monitored real time addressed', 'falls monitored real time addressed']"
20,21,20_wearable_worn_alert_outdated,"['wearable', 'worn', 'alert', 'outdated', 'devices', 'inconvenience', 'protection', 'caused', 'acceptance', 'existing']","['wearable devices protection inconvenience caused', 'wearable alert systems', 'wearable devices protection inconvenience caused']"
21,21,21_fractures_bone_fracture_hip,"['fractures', 'bone', 'fracture', 'hip', 'osteoporosis', 'lengthy', 'broken', 'shoulder', 'vertebral', '87']","['fractures bone treatment lengthy costly', 'fracture bone hip', 'fractures bone']"
22,21,22_flexibility_strength_muscles_stretching,"['flexibility', 'strength', 'muscles', 'stretching', 'muscle', 'bearing', 'limbs', 'doing', 'exercises', 'stamina']","['flexibility limb strength sensitivity motion', 'flexibility strength lack physical', 'flexibility strength lack physical']"
23,20,23_supervision_continuous_feasible_general,"['supervision', 'continuous', 'feasible', 'general', 'economically', 'daily', 'care', 'activities', 'medical', 'status']","['supervision continuous feasible', 'supervision continuous feasible', 'supervision continuous feasible']"
24,20,24_increases_late_admission_hypothermia,"['increases', 'late', 'admission', 'hypothermia', 'dehydration', 'pneumonia', 'risk', '', '', '']","['hypothermia admission risk late increases', 'hypothermia admission risk late increases', 'dehydration admission risk late increases']"
25,18,25_caregivers_visibility_caregiver_great,"['caregivers', 'visibility', 'caregiver', 'great', 'automated', 'worry', 'watching', 'shut', 'intrusive', 'informal']","['caregivers health problems', 'caregivers visibility remote real lack', 'caregivers visibility remote real lack']"
26,18,26_configuration_bulky_large_heavy,"['configuration', 'bulky', 'large', 'heavy', 'ergonomics', 'pounds', 'gain', '300', 'compact', 'fastening']","['bulky configuration', 'bulky configuration', 'bulky configuration']"
27,17,27_stress_distress_burdens_mental,"['stress', 'distress', 'burdens', 'mental', 'acting', 'impacts', 'stressors', 'diet', 'fatigue', 'spine']","['stress injury user', 'stress', 'stress']"
28,17,28_alarms_false_detects_miss,"['alarms', 'false', 'detects', 'miss', 'alarm', 'alert', 'high', 'activating', 'sirens', 'tornado']","['alarms detects miss false high', 'alarms detects miss false high', 'alarms detects miss false high']"
29,16,29_capabilities_instructions_concepts_understand,"['capabilities', 'instructions', 'concepts', 'understand', 'cognitive', 'diminished', 'overwhelming', 'learn', 'ability', 'reduced']","['concepts diminished ability understand instructions', 'concepts diminished ability understand instructions', 'concepts diminished ability understand instructions']"
30,16,30_falls_recent_given_fallen,"['falls', 'recent', 'given', 'fallen', 'year', 'fall', '', '', '', '']","['falls', 'falls', 'falls']"
31,16,31_walking_difficulty_aid_transitional,"['walking', 'difficulty', 'aid', 'transitional', 'tiring', 'sticks', 'phase', 'unattractive', 'rehabilitation', 'training']","['walking assistance difficulty', 'walking difficulty', 'walking difficulty']"
32,15,32_calls_voip_misrouted_caller,"['calls', 'voip', 'misrouted', 'caller', 'origin', 'blocking', 'locating', 'accurately', 'geographical', 'emergency']","['emergency misrouted calls', 'emergency misrouted calls', 'emergency misrouted calls']"
33,15,33_components_breakage_unreliable_losing,"['components', 'breakage', 'unreliable', 'losing', 'additional', 'prone', 'housings', 'software', 'viruses', 'malware']","['expensive components breakage relatively additional', 'breakage components additional prone', 'breakage components additional prone']"
34,14,34_depression_caused_inactivity_suicidal,"['depression', 'caused', 'inactivity', 'suicidal', 'thoughts', 'general', 'severe', 'major', 'risks', '']","['depression', 'depression', 'depression']"
35,14,35_discomfort_uncomfortable_stigmatised_feelings,"['discomfort', 'uncomfortable', 'stigmatised', 'feelings', 'feeling', 'substantial', 'rigid', 'painful', 'felt', 'fear']","['discomfort physical', 'discomfort physical', 'discomfort patient']"
36,14,36_legs_supported_weight_leg,"['legs', 'supported', 'weight', 'leg', 'support', 'strength', 'arms', 'unable', 'moved', 'treadmill']","['legs weight support unable', 'legs strength weight supported need', 'legs strength weight supported']"
37,13,37_stairs_walkways_unwieldy_ascend,"['stairs', 'walkways', 'unwieldy', 'ascend', 'stair', 'depth', 'distance', 'step', 'railings', 'adjustments']","['stairs ascend inability safely', 'stairs unstable unwieldy', 'stairs unstable unwieldy']"
38,13,38_stability_instability_state_medicament,"['stability', 'instability', 'state', 'medicament', 'phenomenon', 'restrained', 'stabilization', 'feedback', 'deficiency', 'configurations']","['stability loss', 'medicament stability restrained possibly', 'stability support lack']"
39,13,39_common_problem_health_wellness,"['common', 'problem', 'health', 'wellness', 'developmental', 'problems', 'issues', 'related', '', '']","['health common problem', 'health common problem', 'health common problem']"
40,12,40_cognitive_related_decline_disorders,"['cognitive', 'related', 'decline', 'disorders', 'memory', 'neuropsychiatric', 'domains', 'age', 'short', 'symptoms']","['cognitive decline age related', 'cognitive decline age related', 'cognitive decline age related']"
41,12,41_blastocyst_escape_blastocysts_zona,"['blastocyst', 'escape', 'blastocysts', 'zona', 'pellucida', 'transplanted', 'controversial', 'qualify', 'arrested', 'transfer']","['blastocyst transplanted development arrested', 'blastocyst pellucida zona escape failure', 'blastocyst pellucida zona escape failure']"
