Topic,Count,Name,Representation,Representative_Docs
-1,692,-1_persons_floor_position_multiple,"['persons', 'floor', 'position', 'multiple', 'functional', 'sitting', 'oocytes', 'drug', 'hip', 'ambulatory']","['moving position seated standing person', 'sitting physical issues persons periods', 'elderly assistance care persons require']"
0,115,0_falls_fall_falling_risk,"['falls', 'fall', 'falling', 'risk', 'older', '50', 'hazards', 'accidental', 'incapable', 'prone']","['falls risk', 'falls risk', 'falls risk']"
1,102,1_mobility_collapsibility_walking_impaired,"['mobility', 'collapsibility', 'walking', 'impaired', 'workforce', 'limited', 'reduced', 'walk', 'confidence', 'decrease']","['mobility limited', 'mobility limited', 'mobility']"
2,92,2_infertility_fertility_female_treatments,"['infertility', 'fertility', 'female', 'treatments', 'unexplained', 'conception', 'reproductive', 'humans', 'inefficient', 'male']","['infertility', 'infertility', 'infertility']"
3,87,3_embryo_embryos_methods_relate,"['embryo', 'embryos', 'methods', 'relate', 'implantation', 'lacking', 'evaluation', 'human', 'selection', 'vitro']","['embryo evaluation methods human lacking', 'embryo evaluation methods human lacking', 'embryo evaluation methods human lacking']"
4,87,4_aging_population_growing_senior,"['aging', 'population', 'growing', 'senior', 'citizens', 'elderly', 'world', 'activities', 'apprise', 'increasing']","['aging population', 'aging population', 'aging population']"
5,74,5_medications_compliance_regimen_prescribed,"['medications', 'compliance', 'regimen', 'prescribed', 'medication', 'taking', 'non', 'dose', 'remembering', 'organizing']","['prescribed compliance regimen dose non', 'prescribed compliance regimen dose non', 'prescribed medications regimen compliance non']"
6,70,6_caregivers_caregiver_lifting_providing,"['caregivers', 'caregiver', 'lifting', 'providing', 'efficient', 'lift', 'handling', 'lifts', 'proper', 'rolling']","['caregiver injury risk', 'caregivers handling lifting improper inaccurate', 'caregivers handling lifting patient inaccurate']"
7,54,7_emergency_emergencies_making_relating,"['emergency', 'emergencies', 'making', 'relating', 'experiencing', 'reliability', 'faced', 'dangers', 'situation', 'calls']","['reliability calls emergency making', 'reliability calls emergency making', 'reliability calls emergency making']"
8,44,8_retirement_benefits_income_pension,"['retirement', 'benefits', 'income', 'pension', 'funded', 'employer', 'employers', 'benefit', 'guaranteed', 'insufficient']","['retirement benefits loss employer funded', 'retirement benefits loss employer funded', 'retirement benefits loss employer funded']"
9,37,9_healthcare_unnecessary_costs_cost,"['healthcare', 'unnecessary', 'costs', 'cost', 'hospitals', 'billion', 'rising', 'hospitalization', 'care', 'burden']","['cost healthcare home', 'cost healthcare home', 'cost healthcare home']"
10,35,10_wearable_devices_pers_worn,"['wearable', 'devices', 'pers', 'worn', 'disadvantages', 'systems', 'protection', 'inconvenience', 'caused', 'acceptance']","['wearable disadvantages devices', 'pers emergency wearable devices systems', 'pers emergency wearable devices systems']"
11,35,11_injuring_injuries_worker_work,"['injuring', 'injuries', 'worker', 'work', 'occupational', 'employees', 'givers', 'injury', 'unstoppable', 'traumas']","['injuring person', 'injuries worker', 'injuries worker']"
12,35,12_standing_sitting_position_seated,"['standing', 'sitting', 'position', 'seated', 'rise', 'stand', 'seat', 'sit', 'interacting', 'postural']","['sitting standing position transitioning', 'sitting standing difficulty', 'sitting standing difficulty']"
13,34,13_consequences_condition_medical_conditions,"['consequences', 'condition', 'medical', 'conditions', 'dangerous', 'comatose', 'severe', 'negative', 'unacceptable', 'overdose']","['consequences health severe', 'consequences health negative severe', 'consequences health negative severe']"
14,33,14_minimal_equipment_nonexistent_monitoring,"['minimal', 'equipment', 'nonexistent', 'monitoring', 'facilities', 'unobtrusive', 'constant', 'home', 'instrumenting', 'uninterrupted']","['monitoring equipment minimal nonexistent', 'monitoring equipment minimal nonexistent', 'monitoring equipment minimal nonexistent']"
15,32,15_gestations_multiple_pregnancies_births,"['gestations', 'multiple', 'pregnancies', 'births', '30', 'live', 'increase', 'fetuses', 'mother', 'outcomes']","['gestations births multiple 30 live', 'gestations births multiple 30 live', 'gestations births multiple 30 live']"
16,31,16_wheelchair_wheelchairs_foldable_standard,"['wheelchair', 'wheelchairs', 'foldable', 'standard', 'motorized', 'special', 'available', 'vehicles', 'transferring', 'armchair']","['wheelchair mobility impaired transfer difficulty', 'wheelchair mobility impaired transfer difficulty', 'wheelchair foldable storage space non']"
17,30,17_ivf_cycle_29_cycles,"['ivf', 'cycle', '29', 'cycles', 'birth', 'fertilization', 'rate', 'vitro', 'ideal', 'et']","['ivf rate cycle birth 29', 'ivf rate cycle birth 29', 'ivf rate cycle birth 29']"
18,27,18_traffic_congestion_collisions_car,"['traffic', 'congestion', 'collisions', 'car', 'reckless', 'misbehavior', 'laws', 'speeding', 'regulations', 'regulation']","['congestion traffic', 'congestion traffic', 'congestion traffic']"
19,25,19_expensive_consuming_costs_generally,"['expensive', 'consuming', 'costs', 'generally', 'time', 'monetary', 'manufacturing', 'manufacture', 'prohibitive', 'execute']","['expensive consuming generally time', 'expensive consuming generally time', 'expensive consuming generally time']"
20,23,20_doctor_diagnostic_transported_facility,"['doctor', 'diagnostic', 'transported', 'facility', 'transfers', 'transfer', 'periodic', 'extremely', 'transportation', 'adequate']","['diagnostic patient doctor transported facility', 'diagnostic patient doctor transported facility', 'diagnostic patient doctor transported facility']"
21,22,21_pregnancy_successful_attempts_chances,"['pregnancy', 'successful', 'attempts', 'chances', 'pregnant', 'technique', 'incidence', 'loss', 'success', 'early']","['pregnancy technique successful improve chances', 'pregnancy loss', 'pregnancy loss']"
22,22,22_addressed_real_monitored_detection,"['addressed', 'real', 'monitored', 'detection', 'pers', 'fall', 'experiencing', 'used', 'wearable', 'detect']","['falls monitored real time addressed', 'falls monitored real time addressed', 'falls monitored real time addressed']"
23,22,23_syndrome_ovarian_hyperstimulation_ohss,"['syndrome', 'ovarian', 'hyperstimulation', 'ohss', 'ovary', 'polycystic', 'pcos', 'stimulation', 'means', 'traditional']","['ovarian hyperstimulation syndrome ohss', 'ovarian hyperstimulation syndrome ohss', 'ovarian hyperstimulation syndrome ohss']"
24,21,24_aids_diabetes_diseases_cancer,"['aids', 'diabetes', 'diseases', 'cancer', 'reliance', 'province', 'immuno', 'viral', 'contagious', 'disease']","['aids', 'aids', 'aids']"
25,20,25_dementia_alzheimer_cognitive_onset,"['dementia', 'alzheimer', 'cognitive', 'onset', 'related', 'decline', 'disorders', 'disease', 'domains', 'age']","['dementia', 'dementia', 'dementia alzheimer cognitive difficulties disease']"
26,20,26_supervision_continuous_feasible_general,"['supervision', 'continuous', 'feasible', 'general', 'economically', 'daily', 'care', 'activities', 'medical', 'status']","['supervision continuous feasible', 'supervision continuous feasible', 'supervision continuous feasible']"
27,20,27_positioning_orientation_recognize_posture,"['positioning', 'orientation', 'recognize', 'posture', 'declines', 'tilt', 'awareness', 'responses', 'sensor', 'body']","['posture positioning recognize human body', 'posture positioning recognize human body', 'posture positioning recognize human body']"
28,20,28_increases_late_admission_hypothermia,"['increases', 'late', 'admission', 'hypothermia', 'dehydration', 'pneumonia', 'risk', '', '', '']","['hypothermia admission risk late increases', 'dehydration admission risk late increases', 'dehydration admission risk late increases']"
29,19,29_challenged_physically_burdens_paralysis,"['challenged', 'physically', 'burdens', 'paralysis', 'load', 'mental', 'ailments', 'suited', 'cognitive', 'physical']","['challenged physically individuals', 'challenged physically individuals', 'challenged physically individuals']"
30,18,30_stress_distress_localized_stresses,"['stress', 'distress', 'localized', 'stresses', 'pressure', 'impacts', 'sternal', 'stressors', 'acting', 'fatigue']","['stress injury user', 'stress', 'stress']"
31,17,31_walker_walkers_rolling_heavily,"['walker', 'walkers', 'rolling', 'heavily', 'elements', 'leaning', 'rigid', 'rely', 'encounters', 'parallel']","['walker leaning rely heavily need', 'walker rolling feet support elements', 'walker rolling feet support elements']"
32,16,32_safety_restraints_security_event,"['safety', 'restraints', 'security', 'event', 'driving', 'child', 'safe', 'automatic', 'prevent', 'related']","['safety security event health related', 'safety security event health related', 'safety security event health related']"
33,16,33_mother_fetuses_adverse_outcomes,"['mother', 'fetuses', 'adverse', 'outcomes', 'maternal', 'perinatal', 'obstetrical', 'fetal', 'risks', 'complications']","['fetuses mother outcomes adverse', 'fetuses mother outcomes adverse', 'fetuses mother outcomes adverse']"
34,14,34_variable_potential_term_implantation,"['variable', 'potential', 'term', 'implantation', 'defined', 'development', 'poorly', 'successful', '', '']","['implantation potential variable term development', 'implantation potential variable term development', 'implantation potential variable term development']"
35,14,35_adherence_medication_morbid_schedules,"['adherence', 'medication', 'morbid', 'schedules', 'poor', 'regimens', 'ensuring', 'solution', 'management', 'admissions']","['adherence medication poor', 'adherence medication lack', 'adherence medication']"
36,14,36_bodily_injury_risks_embraces,"['bodily', 'injury', 'risks', 'embraces', 'attempt', 'risk', 'personnel', 'resident', 'injuries', 'higher']","['risks injuries bodily', 'risks injury bodily higher', 'risks injury bodily higher']"
37,14,37_depression_caused_inactivity_suicidal,"['depression', 'caused', 'inactivity', 'suicidal', 'thoughts', 'general', 'severe', 'major', 'risks', '']","['depression', 'depression', 'depression']"
38,14,38_anxiety_taker_ones_loved,"['anxiety', 'taker', 'ones', 'loved', 'levels', 'felt', 'checked', 'caretaker', 'unwell', 'feeling']","['anxiety felt loved ones', 'anxiety felt loved ones', 'anxiety felt loved ones']"
39,13,39_discomfort_uncomfortable_feelings_feeling,"['discomfort', 'uncomfortable', 'feelings', 'feeling', 'substantial', 'rigid', 'painful', 'felt', 'wearing', 'psychologically']","['discomfort physical', 'discomfort physical', 'discomfort patient']"
40,13,40_stairs_walkways_unwieldy_ascend,"['stairs', 'walkways', 'unwieldy', 'ascend', 'stair', 'depth', 'distance', 'step', 'railings', 'adjustments']","['stairs ascend inability safely', 'stairs unstable unwieldy', 'stairs unstable unwieldy']"
41,13,41_alarms_detects_miss_false,"['alarms', 'detects', 'miss', 'false', 'tornado', 'sirens', 'values', 'ignored', 'alarm', 'high']","['alarms detects miss false high', 'alarms detects miss false high', 'alarms detects miss false high']"
42,13,42_misrouted_voip_calls_caller,"['misrouted', 'voip', 'calls', 'caller', 'blocking', 'locating', 'origin', 'accurately', 'geographical', 'hearing']","['emergency misrouted calls', 'emergency misrouted calls', 'emergency misrouted calls']"
